scientificName,Birdtree_tiplabel
Aphanotriccus audax,Aphanotriccus_audax
Aphrastura masafuerae,Aphrastura_masafuerae
Aphrastura spinicauda,Aphrastura_spinicauda
Calidris virgata,Aphriza_virgata
Aphrodroma brevirostris,Lugensa_brevirostris
Aptenodytes forsteri,Aptenodytes_forsteri
Aptenodytes patagonicus,Aptenodytes_patagonicus
Apus apus,Apus_apus
Ara ambiguus,Ara_ambiguus
Ara ararauna,Ara_ararauna
Ara chloropterus,Ara_chloropterus
Ara glaucogularis,Ara_glaucogularis
Ara macao,Ara_macao
Ara militaris,Ara_militaris
Ara rubrogenys,Ara_rubrogenys
Ara severus,Ara_severus
Aramides axillaris,Aramides_axillaris
Aramides cajaneus,Aramides_cajanea
Aramides calopterus,Aramides_calopterus
Aramides mangle,Aramides_mangle
Aramides saracura,Aramides_saracura
Aramides wolfi,Aramides_wolfi
Aramides ypecaha,Aramides_ypecaha
Aramus guarauna,Aramus_guarauna
Thectocercus acuticaudatus,Aratinga_acuticaudata
Eupsittula aurea,Aratinga_aurea
Aratinga auricapillus,Aratinga_auricapillus
Eupsittula cactorum,Aratinga_cactorum
Psittacara erythrogenys,Aratinga_erythrogenys
Aratinga jandaya,Aratinga_jandaya
Psittacara leucophthalmus,Aratinga_leucophthalma
Aratinga maculata,Aratinga_solstitialis
Psittacara mitratus,Aratinga_mitrata
Eupsittula pertinax,Aratinga_pertinax
Aratinga solstitialis,Aratinga_solstitialis
Psittacara wagleri,Aratinga_wagleri
Aratinga weddellii,Aratinga_weddellii
Ardea alba,Casmerodius_albus
Ardea cinerea,Ardea_cinerea
Ardea cocoi,Ardea_cocoi
Ardea herodias,Ardea_herodias
Ardea purpurea,Ardea_purpurea
Ardeola ralloides,Ardeola_ralloides
Arenaria interpres,Arenaria_interpres
Arremon abeillei,Arremon_abeillei
Arremon assimilis,Arremon_torquatus
Arremon atricapillus,Arremon_torquatus
Arremon aurantiirostris,Arremon_aurantiirostris
Arremon basilicus,Arremon_torquatus
Arremon brunneinucha,Arremon_brunneinucha
Arremon castaneiceps,Arremon_castaneiceps
Arremon crassirostris,Arremon_crassirostris
Arremon dorbignii,Arremon_flavirostris
Arremon flavirostris,Arremon_flavirostris
Arremon franciscanus,Arremon_franciscanus
Arremon perijanus,Arremon_torquatus
Arremon phaeopleurus,Arremon_torquatus
Arremon phygas,Arremon_torquatus
Arremon schlegeli,Arremon_schlegeli
Arremon semitorquatus,Arremon_semitorquatus
Arremon taciturnus,Arremon_taciturnus
Arremon torquatus,Arremon_torquatus
Arremonops conirostris,Arremonops_conirostris
Arremonops tocuyensis,Arremonops_tocuyensis
Arundinicola leucocephala,Arundinicola_leucocephala
Asemospiza fuliginosa,Tiaris_fuliginosus
Asio flammeus,Asio_flammeus
Asio stygius,Asio_stygius
Asthenes anthoides,Asthenes_anthoides
Asthenes baeri,Asthenes_baeri
Asthenes berlepschi,Asthenes_berlepschi
Pseudasthenes cactorum,Asthenes_cactorum
Asthenes dorbignyi,Asthenes_dorbignyi
Asthenes flammulata,Asthenes_flammulata
Asthenes heterura,Asthenes_heterura
Asthenes hudsoni,Asthenes_hudsoni
Pseudasthenes humicola,Asthenes_humicola
Asthenes humilis,Asthenes_humilis
Asthenes luizae,Asthenes_luizae
Asthenes maculicauda,Asthenes_maculicauda
Asthenes modesta,Asthenes_modesta
Asthenes ottonis,Asthenes_ottonis
Pseudasthenes patagonica,Asthenes_patagonica
Asthenes perijana,Schizoeaca_perijana
Asthenes pudibunda,Asthenes_pudibunda
Asthenes pyrrholeuca,Asthenes_pyrrholeuca
Asthenes sclateri,Asthenes_sclateri
Pseudasthenes steinbachi,Asthenes_steinbachi
Asthenes urubambensis,Asthenes_urubambensis
Asthenes virgata,Asthenes_virgata
Asthenes wyatti,Asthenes_wyatti
Atalotriccus pilaris,Atalotriccus_pilaris
Athene cunicularia,Athene_cunicularia
Atlapetes albiceps,Atlapetes_albiceps
Atlapetes albinucha,Atlapetes_albinucha
Atlapetes albofrenatus,Atlapetes_albofrenatus
Atlapetes blancae,#N/A
Atlapetes canigenis,Atlapetes_canigenis
Atlapetes citrinellus,Atlapetes_citrinellus
Atlapetes flaviceps,Atlapetes_flaviceps
Atlapetes forbesi,Atlapetes_forbesi
Atlapetes fulviceps,Atlapetes_fulviceps
Atlapetes fuscoolivaceus,Atlapetes_fuscoolivaceus
Atlapetes latinuchus,Atlapetes_latinuchus
Atlapetes leucopis,Atlapetes_leucopis
Atlapetes leucopterus,Atlapetes_leucopterus
Atlapetes melanocephalus,Atlapetes_melanocephalus
Atlapetes melanolaemus,Atlapetes_melanolaemus
Atlapetes melanopsis,Atlapetes_melanopsis
Atlapetes nationi,Atlapetes_nationi
Atlapetes pallidiceps,Atlapetes_pallidiceps
Atlapetes pallidinucha,Atlapetes_pallidinucha
Atlapetes personatus,Atlapetes_personatus
Atlapetes rufigenis,Atlapetes_rufigenis
Atlapetes rufinucha,Atlapetes_rufinucha
Atlapetes schistaceus,Atlapetes_schistaceus
Atlapetes seebohmi,Atlapetes_seebohmi
Atlapetes semirufus,Atlapetes_semirufus
Atlapetes terborghi,Atlapetes_terborghi
Atlapetes tricolor,Atlapetes_tricolor
Attagis gayi,Attagis_gayi
Attagis malouinus,Attagis_malouinus
Atticora fasciata,Atticora_fasciata
Attila bolivianus,Attila_bolivianus
Attila cinnamomeus,Attila_cinnamomeus
Attila citriniventris,Attila_citriniventris
Attila phoenicurus,Attila_phoenicurus
Attila rufus,Attila_rufus
Attila spadiceus,Attila_spadiceus
Attila torridus,Attila_torridus
Augastes lumachella,Augastes_lumachella
Augastes scutatus,Augastes_scutatus
Aulacorhynchus albivitta,Aulacorhynchus_prasinus
Aulacorhynchus coeruleicinctis,Aulacorhynchus_coeruleicinctis
Aulacorhynchus derbianus,Aulacorhynchus_derbianus
Aulacorhynchus haematopygus,Aulacorhynchus_haematopygus
Aulacorhynchus huallagae,Aulacorhynchus_huallagae
Aulacorhynchus sulcatus,Aulacorhynchus_sulcatus
Aulacorhynchus whitelianus,Aulacorhynchus_prasinus
Automolus infuscatus,Automolus_infuscatus
Automolus lammi,Automolus_leucophthalmus
Automolus leucophthalmus,Automolus_leucophthalmus
Automolus melanopezus,Automolus_melanopezus
Automolus ochrolaemus,Automolus_ochrolaemus
Automolus paraensis,Automolus_infuscatus
Syndactyla roraimae,Syndactyla_roraimae
Clibanornis rubiginosus,Automolus_rubiginosus
Automolus rufipileatus,Automolus_rufipileatus
Avocettula recurvirostris,Avocettula_recurvirostris
Aythya affinis,Aythya_affinis
Aythya collaris,Aythya_collaris
Bangsia arcaei,Bangsia_arcaei
Bangsia aureocincta,Bangsia_aureocincta
Bangsia edwardsi,Bangsia_edwardsi
Bangsia flavovirens,Chlorospingus_flavovirens
Bangsia melanochlamys,Bangsia_melanochlamys
Bangsia rothschildi,Bangsia_rothschildi
Bartramia longicauda,Bartramia_longicauda
Baryphthengus martii,Baryphthengus_martii
Baryphthengus ruficapillus,Baryphthengus_ruficapillus
Myiothlypis basilica,Basileuterus_basilicus
Basileuterus culicivorus,Basileuterus_culicivorus
Basileuterus ignotus,Basileuterus_ignotus
Basileuterus rufifrons,Basileuterus_rufifrons
Basileuterus trifasciatus,Basileuterus_trifasciatus
Basileuterus tristriatus,Basileuterus_tristriatus
Batara cinerea,Batara_cinerea
Berlepschia rikeri,Berlepschia_rikeri
Biatas nigropectus,Biatas_nigropectus
Boissonneaua flavescens,Boissonneaua_flavescens
Boissonneaua jardini,Boissonneaua_jardini
Boissonneaua matthewsii,Boissonneaua_matthewsii
Bolborhynchus ferrugineifrons,Bolborhynchus_ferrugineifrons
Bolborhynchus lineola,Bolborhynchus_lineola
Bolborhynchus orbygnesius,Bolborhynchus_orbygnesius
Bombycilla cedrorum,Bombycilla_cedrorum
Botaurus pinnatus,Botaurus_pinnatus
Brachygalba albogularis,Brachygalba_albogularis
Brachygalba goeringi,Brachygalba_goeringi
Brachygalba lugubris,Brachygalba_lugubris
Brachygalba salmoni,Brachygalba_salmoni
Brotogeris chiriri,Brotogeris_chiriri
Brotogeris chrysoptera,Brotogeris_chrysoptera
Brotogeris cyanoptera,Brotogeris_cyanoptera
Brotogeris jugularis,Brotogeris_jugularis
Brotogeris pyrrhoptera,Brotogeris_pyrrhoptera
Brotogeris sanctithomae,Brotogeris_sanctithomae
Brotogeris tirica,Brotogeris_tirica
Brotogeris versicolurus,Brotogeris_versicolurus
Bubo virginianus,Bubo_virginianus
Bubulcus ibis,Bubulcus_ibis
Bucco capensis,Bucco_capensis
Bucco macrodactylus,Bucco_macrodactylus
Bucco noanamae,Bucco_noanamae
Bucco tamatia,Bucco_tamatia
Bulweria bulwerii,Bulweria_bulwerii
Burhinus bistriatus,Burhinus_bistriatus
Burhinus superciliaris,Burhinus_superciliaris
Busarellus nigricollis,Busarellus_nigricollis
Geranoaetus albicaudatus,Buteo_albicaudatus
Buteo albigula,Buteo_albigula
Buteo albonotatus,Buteo_albonotatus
Buteo brachyurus,Buteo_brachyurus
