scientificName,Birdtree_tiplabel
Chrysuronia coeruleogularis,Lepidopyga_coeruleogularis
Chrysuronia goudoti,Lepidopyga_goudoti
Chrysuronia grayi,Hylocharis_grayi
Chrysuronia humboldtii,Hylocharis_humboldtii
Chrysuronia leucogaster,Amazilia_leucogaster
Chrysuronia lilliae,Lepidopyga_lilliae
Chrysuronia oenone,Chrysuronia_oenone
Chrysuronia versicolor,Amazilia_versicolor
Chunga burmeisteri,Chunga_burmeisteri
Cichlocolaptes leucophrus,Cichlocolaptes_leucophrus
Cichlopsis leucogenys,Cichlopsis_leucogenys
Ciconia maguari,Ciconia_maguari
Cinclodes albidiventris,Cinclodes_albidiventris
Cinclodes antarcticus,Cinclodes_antarcticus
Cinclodes aricomae,Cinclodes_aricomae
Cinclodes atacamensis,Cinclodes_atacamensis
Cinclodes comechingonus,Cinclodes_comechingonus
Cinclodes excelsior,Cinclodes_excelsior
Cinclodes albiventris,Cinclodes_fuscus
Cinclodes fuscus,Cinclodes_fuscus
Cinclodes nigrofumosus,Cinclodes_nigrofumosus
Cinclodes olrogi,Cinclodes_olrogi
Cinclodes oustaleti,Cinclodes_oustaleti
Cinclodes pabsti,Cinclodes_pabsti
Cinclodes palliatus,Cinclodes_palliatus
Cinclodes patagonicus,Cinclodes_patagonicus
Cinclodes taczanowskii,Cinclodes_taczanowskii
Cinclus leucocephalus,Cinclus_leucocephalus
Cinclus schulzii,Cinclus_schulzi
Cinnycerthia fulva,Cinnycerthia_fulva
Cinnycerthia olivascens,Cinnycerthia_olivascens
Cinnycerthia peruana,Cinnycerthia_peruana
Cinnycerthia unirufa,Cinnycerthia_unirufa
Circus buffoni,Circus_buffoni
Circus cinereus,Circus_cinereus
Circus hudsonius,Circus_cyaneus
Cissopis leverianus,Cissopis_leverianus
Cistothorus apolinari,Cistothorus_apolinari
Cistothorus meridae,Cistothorus_meridae
Cistothorus platensis,Cistothorus_platensis
Paraclaravis geoffroyi,Claravis_godefrida
Paraclaravis mondetoura,Claravis_mondetoura
Claravis pretiosa,Claravis_pretiosa
Clibanornis dendrocolaptoides,Clibanornis_dendrocolaptoides
Clibanornis rectirostris,Hylocryptus_rectirostris
Clibanornis rufipectus,Automolus_rubiginosus
Clytoctantes alixii,Clytoctantes_alixii
Clytoctantes atrogularis,Clytoctantes_atrogularis
Heliodoxa rubricauda,Clytolaema_rubricauda
Cnemarchus erythropygius,Cnemarchus_erythropygius
Cnemoscopus rubrirostris,Cnemoscopus_rubrirostris
Cnemotriccus fuscatus,Cnemotriccus_fuscatus
Cnipodectes subbrunneus,Cnipodectes_subbrunneus
Cnipodectes superrufus,Cnipodectes_superrufus
Coccycua cinerea,Coccycua_cinerea
Coccycua pumila,Coccycua_pumila
Coccyzus americanus,Coccyzus_americanus
Coccyzus erythropthalmus,Coccyzus_erythropthalmus
Coccyzus euleri,Coccyzus_euleri
Coccyzus lansbergi,Coccyzus_lansbergi
Coccyzus melacoryphus,Coccyzus_melacoryphus
Coccyzus minor,Coccyzus_minor
Cochlearius cochlearius,Cochlearius_cochlearius
Coeligena bonapartei,Coeligena_bonapartei
Coeligena coeligena,Coeligena_coeligena
Coeligena helianthea,Coeligena_helianthea
Coeligena iris,Coeligena_iris
Coeligena lutetiae,Coeligena_lutetiae
Coeligena orina,Coeligena_orina
Coeligena phalerata,Coeligena_phalerata
Coeligena prunellei,Coeligena_prunellei
Coeligena torquata,Coeligena_torquata
Coeligena violifer,Coeligena_violifer
Coeligena wilsoni,Coeligena_wilsoni
Coereba flaveola,Coereba_flaveola
Colaptes atricollis,Colaptes_atricollis
Colaptes campestris,Colaptes_campestris
Colaptes melanochloros,Colaptes_melanochloros
Colaptes pitius,Colaptes_pitius
Colaptes punctigula,Colaptes_punctigula
Colaptes rivolii,Colaptes_rivolii
Colaptes rubiginosus,Colaptes_rubiginosus
Colaptes rupicola,Colaptes_rupicola
Colibri coruscans,Colibri_coruscans
Colibri cyanotus,Colibri_thalassinus
Colibri delphinae,Colibri_delphinae
Colibri serrirostris,Colibri_serrirostris
Colinus cristatus,Colinus_cristatus
Colonia colonus,Colonia_colonus
Colorhamphus parvirostris,Colorhamphus_parvirostris
Columba livia,Columba_livia
Columbina buckleyi,Columbina_buckleyi
Columbina cruziana,Columbina_cruziana
Columbina cyanopis,Columbina_cyanopis
Columbina minuta,Columbina_minuta
Columbina passerina,Columbina_passerina
Columbina picui,Columbina_picui
Columbina squammata,Columbina_squammata
Columbina talpacoti,Columbina_talpacoti
Poospiza baeri,Compsospiza_baeri
Poospiza garleppi,Compsospiza_garleppi
Compsothraupis loricata,Compsothraupis_loricata
Conioptilon mcilhennyi,Conioptilon_mcilhennyi
Conirostrum albifrons,Conirostrum_albifrons
Conirostrum bicolor,Conirostrum_bicolor
Conirostrum binghami,Oreomanes_fraseri
Conirostrum cinereum,Conirostrum_cinereum
Conirostrum ferrugineiventre,Conirostrum_ferrugineiventre
Conirostrum leucogenys,Conirostrum_leucogenys
Conirostrum margaritae,Conirostrum_margaritae
Conirostrum rufum,Conirostrum_rufum
Conirostrum sitticolor,Conirostrum_sitticolor
Conirostrum speciosum,Conirostrum_speciosum
Conirostrum tamarugense,Conirostrum_tamarugense
Conopias albovittatus,Conopias_albovittatus
Conopias parvus,Conopias_albovittatus
Conopias cinchoneti,Conopias_cinchoneti
Conopias trivirgatus,Conopias_trivirgatus
Conopophaga ardesiaca,Conopophaga_ardesiaca
Conopophaga aurita,Conopophaga_aurita
Conopophaga castaneiceps,Conopophaga_castaneiceps
Conopophaga cearae,Conopophaga_cearae
Conopophaga lineata,Conopophaga_lineata
Conopophaga melanogaster,Conopophaga_melanogaster
Conopophaga melanops,Conopophaga_melanops
Conopophaga peruviana,Conopophaga_peruviana
Conopophaga roberti,Conopophaga_roberti
Conothraupis mesoleuca,Conothraupis_mesoleuca
Conothraupis speculigera,Conothraupis_speculigera
Contopus albogularis,Contopus_albogularis
Contopus cinereus,Contopus_cinereus
Contopus cooperi,Contopus_cooperi
Contopus fumigatus,Contopus_fumigatus
Contopus nigrescens,Contopus_nigrescens
Contopus sordidulus,Contopus_sordidulus
Contopus virens,Contopus_virens
Coragyps atratus,Coragyps_atratus
Corapipo altera,Corapipo_altera
Corapipo gutturalis,Corapipo_gutturalis
Corapipo leucorrhoa,Corapipo_leucorrhoa
Coryphaspiza melanotis,Coryphaspiza_melanotis
Coryphistera alaudina,Coryphistera_alaudina
Coryphospingus cucullatus,Coryphospingus_cucullatus
Coryphospingus pileatus,Coryphospingus_pileatus
Corythopis delalandi,Corythopis_delalandi
Corythopis torquatus,Corythopis_torquatus
Coscoroba coscoroba,Coscoroba_coscoroba
Cotinga cayana,Cotinga_cayana
Cotinga cotinga,Cotinga_cotinga
Cotinga maculata,Cotinga_maculata
Cotinga maynana,Cotinga_maynana
Cotinga nattererii,Cotinga_nattererii
Coturnicops notatus,Coturnicops_notatus
Cranioleuca albicapilla,Cranioleuca_albicapilla
Cranioleuca albiceps,Cranioleuca_albiceps
Cranioleuca antisiensis,Cranioleuca_antisiensis
Cranioleuca curtata,Cranioleuca_curtata
Cranioleuca demissa,Cranioleuca_demissa
Cranioleuca erythrops,Cranioleuca_erythrops
Cranioleuca gutturata,Cranioleuca_gutturata
Cranioleuca hellmayri,Cranioleuca_hellmayri
Cranioleuca henricae,Cranioleuca_henricae
Cranioleuca marcapatae,Cranioleuca_marcapatae
Cranioleuca muelleri,Cranioleuca_muelleri
Cranioleuca obsoleta,Cranioleuca_obsoleta
Cranioleuca pallida,Cranioleuca_pallida
Cranioleuca pyrrhophia,Cranioleuca_pyrrhophia
Cranioleuca semicinerea,Cranioleuca_semicinerea
Cranioleuca subcristata,Cranioleuca_subcristata
Limnoctites sulphuriferus,Cranioleuca_sulphurifera
Cranioleuca vulpecula,Cranioleuca_vulpecula
Cranioleuca vulpina,Cranioleuca_vulpina
Crax alberti,Crax_alberti
Crax alector,Crax_alector
Crax blumenbachii,Crax_blumenbachii
Crax daubentoni,Crax_daubentoni
Crax fasciolata,Crax_fasciolata
Crax globulosa,Crax_globulosa
Crax rubra,Crax_rubra
Creagrus furcatus,Creagrus_furcatus
Creurgops dentatus,Creurgops_dentatus
Creurgops verticalis,Creurgops_verticalis
Crex crex,Crex_crex
Crotophaga ani,Crotophaga_ani
Crotophaga major,Crotophaga_major
Crotophaga sulcirostris,Crotophaga_sulcirostris
Cryptoleucopteryx plumbea,Leucopternis_plumbeus
Crypturellus atrocapillus,Crypturellus_atrocapillus
Crypturellus bartletti,Crypturellus_bartletti
Crypturellus berlepschi,Crypturellus_berlepschi
Crypturellus brevirostris,Crypturellus_brevirostris
Crypturellus casiquiare,Crypturellus_casiquiare
Crypturellus cinereus,Crypturellus_cinereus
Crypturellus duidae,Crypturellus_duidae
Crypturellus erythropus,Crypturellus_erythropus
Crypturellus kerriae,Crypturellus_kerriae
Crypturellus noctivagus,Crypturellus_noctivagus
Crypturellus obsoletus,Crypturellus_obsoletus
Crypturellus parvirostris,Crypturellus_parvirostris
Crypturellus ptaritepui,Crypturellus_ptaritepui
Crypturellus soui,Crypturellus_soui
Crypturellus strigulosus,Crypturellus_strigulosus
Crypturellus tataupa,Crypturellus_tataupa
Crypturellus transfasciatus,Crypturellus_transfasciatus
Crypturellus undulatus,Crypturellus_undulatus
Crypturellus variegatus,Crypturellus_variegatus
Cuculus canorus,Cuculus_canorus
Culicivora caudacuta,Culicivora_caudacuta
Curaeus curaeus,Curaeus_curaeus
Anumara forbesi,Curaeus_forbesi
Cyanerpes caeruleus,Cyanerpes_caeruleus
Cyanerpes cyaneus,Cyanerpes_cyaneus
Cyanerpes lucidus,Cyanerpes_lucidus
Cyanerpes nitidus,Cyanerpes_nitidus
Cyanicterus cyanicterus,Cyanicterus_cyanicterus
Cyanoloxia cyanoides,Cyanocompsa_cyanoides
Cyanoloxia rothschildii,Cyanocompsa_cyanoides
Cyanocorax affinis,Cyanocorax_affinis
Cyanocorax caeruleus,Cyanocorax_caeruleus
Cyanocorax cayanus,Cyanocorax_cayanus
Cyanocorax chrysops,Cyanocorax_chrysops
Cyanocorax cristatellus,Cyanocorax_cristatellus
Cyanocorax cyanomelas,Cyanocorax_cyanomelas
Cyanocorax cyanopogon,Cyanocorax_cyanopogon
Cyanocorax heilprini,Cyanocorax_heilprini
Cyanocorax mystacalis,Cyanocorax_mystacalis
Cyanocorax violaceus,Cyanocorax_violaceus
Cyanocorax yncas,Cyanocorax_yncas
Cyanoliseus patagonus,Cyanoliseus_patagonus
Cyanoloxia brissonii,Cyanocompsa_brissonii
Cyanoloxia glaucocaerulea,Cyanoloxia_glaucocaerulea
Cyanolyca armillata,Cyanolyca_armillata
Cyanolyca pulchra,Cyanolyca_pulchra
Cyanolyca turcosa,Cyanolyca_turcosa
Cyanolyca viridicyanus,Cyanolyca_viridicyanus
Cyanopsitta spixii,Cyanopsitta_spixii
Cyclarhis gujanensis,Cyclarhis_gujanensis
Cyclarhis nigrirostris,Cyclarhis_nigrirostris
Cygnus melancoryphus,Cygnus_melancoryphus
Cymbilaimus lineatus,Cymbilaimus_lineatus
Cymbilaimus sanctaemariae,Cymbilaimus_sanctaemariae
Cyphorhinus arada,Cyphorhinus_arada
Cyphorhinus phaeocephalus,Cyphorhinus_phaeocephalus
Cyphorhinus thoracicus,Cyphorhinus_thoracicus
Cypseloides cherriei,Cypseloides_cherriei
Cypseloides cryptus,Cypseloides_cryptus
Cypseloides fumigatus,Cypseloides_fumigatus
Cypseloides lemosi,Cypseloides_lemosi
Cypseloides niger,Cypseloides_niger
Cypseloides rothschildi,Cypseloides_rothschildi
Cypseloides senex,Cypseloides_senex
Cypsnagra hirundinacea,Cypsnagra_hirundinacea
Dacnis albiventris,Dacnis_albiventris
Dacnis berlepschi,Dacnis_berlepschi
Dacnis cayana,Dacnis_cayana
Dacnis flaviventer,Dacnis_flaviventer
Dacnis hartlaubi,Dacnis_hartlaubi
Dacnis lineata,Dacnis_lineata
Dacnis nigripes,Dacnis_nigripes
Dacnis venusta,Dacnis_venusta
Dacnis viguieri,Dacnis_viguieri
Daption capense,Daption_capense
Daptrius ater,Daptrius_ater
Deconychura longicauda,Deconychura_longicauda
Certhiasomus stictolaemus,Deconychura_stictolaema
Dubusia castaneoventris,Delothraupis_castaneoventris
Dendrexetastes rufigula,Dendrexetastes_rufigula
Dendrocincla fuliginosa,Dendrocincla_fuliginosa
Dendrocincla turdina,Dendrocincla_fuliginosa
Dendrocincla homochroa,Dendrocincla_homochroa
Dendrocincla merula,Dendrocincla_merula
Dendrocincla tyrannina,Dendrocincla_tyrannina
Dendrocolaptes certhia,Dendrocolaptes_certhia
Dendrocolaptes hoffmannsi,Dendrocolaptes_hoffmannsi
Dendrocolaptes picumnus,Dendrocolaptes_picumnus
Dendrocolaptes platyrostris,Dendrocolaptes_platyrostris
Dendrocolaptes sanctithomae,Dendrocolaptes_sanctithomae
Dendrocygna autumnalis,Dendrocygna_autumnalis
Dendrocygna bicolor,Dendrocygna_bicolor
Dendrocygna viduata,Dendrocygna_viduata
Dendroplex kienerii,Dendroplex_kienerii
Deroptyus accipitrinus,Deroptyus_accipitrinus
Dichrozona cincta,Dichrozona_cincta
Diglossa albilatera,Diglossa_albilatera
Diglossa brunneiventris,Diglossa_brunneiventris
Diglossa caerulescens,Diglossa_caerulescens
Diglossa carbonaria,Diglossa_carbonaria
Diglossa cyanea,Diglossa_cyanea
Diglossa duidae,Diglossa_duidae
Diglossa glauca,Diglossa_glauca
Diglossa gloriosa,Diglossa_gloriosa
Diglossa gloriosissima,Diglossa_gloriosissima
Diglossa humeralis,Diglossa_humeralis
Diglossa indigotica,Diglossa_indigotica
Diglossa lafresnayii,Diglossa_lafresnayii
Diglossa major,Diglossa_major
Diglossa mystacalis,Diglossa_mystacalis
Diglossa sittoides,Diglossa_sittoides
Diglossa venezuelensis,Diglossa_venezuelensis
Diomedea epomophora,Diomedea_epomophora
Diomedea exulans,Diomedea_exulans
Diopsittaca nobilis,Diopsittaca_nobilis
Discosura conversii,Discosura_conversii
Discosura langsdorffi,Discosura_langsdorffi
Discosura letitiae,Discosura_letitiae
Discosura longicaudus,Discosura_longicaudus
Discosura popelairii,Discosura_popelairii
Diuca diuca,Diuca_diuca
Dives warczewiczi,Dives_warszewiczi
Dolichonyx oryzivorus,Dolichonyx_oryzivorus
Doliornis remseni,Doliornis_remseni
Doliornis sclateri,Doliornis_sclateri
Sporophila fringilloides,Dolospingus_fringilloides
Donacobius atricapilla,Donacobius_atricapilla
Donacospiza albifrons,Donacospiza_albifrons
Doryfera johannae,Doryfera_johannae
Doryfera ludovicae,Doryfera_ludovicae
Dromococcyx pavoninus,Dromococcyx_pavoninus
Dromococcyx phasianellus,Dromococcyx_phasianellus
Drymophila caudata,Drymophila_caudata
Drymophila devillei,Drymophila_devillei
Drymophila ferruginea,Drymophila_ferruginea
Drymophila genei,Drymophila_genei
Drymophila hellmayri,Drymophila_caudata
Drymophila klagesi,Drymophila_caudata
Drymophila malura,Drymophila_malura
Drymophila ochropyga,Drymophila_ochropyga
Drymophila rubricollis,Drymophila_rubricollis
Drymophila squamata,Drymophila_squamata
Drymophila striaticeps,Drymophila_caudata
Drymornis bridgesii,Drymornis_bridgesii
Drymotoxeres pucheranii,Campylorhamphus_pucherani
Dryobates sanguineus,Veniliornis_sanguineus
Dryocopus lineatus,Dryocopus_lineatus
Dryocopus schulzi,Dryocopus_schulzi
Dubusia taeniata,Dubusia_taeniata
Dumetella carolinensis,Dumetella_carolinensis
Dysithamnus leucostictus,Dysithamnus_leucostictus
Dysithamnus mentalis,Dysithamnus_mentalis
Dysithamnus occidentalis,Dysithamnus_occidentalis
Dysithamnus plumbeus,Dysithamnus_plumbeus
Dysithamnus puncticeps,Dysithamnus_puncticeps
Dysithamnus stictothorax,Dysithamnus_stictothorax
Dysithamnus xanthopterus,Dysithamnus_xanthopterus
Egretta caerulea,Egretta_caerulea
Egretta garzetta,Egretta_garzetta
Egretta gularis,Egretta_gularis
Egretta rufescens,Egretta_rufescens
Egretta thula,Egretta_thula
Egretta tricolor,Egretta_tricolor
Elaenia albiceps,Elaenia_albiceps
Elaenia brachyptera,Elaenia_chiriquensis
Elaenia chiriquensis,Elaenia_chiriquensis
Elaenia cristata,Elaenia_cristata
Elaenia dayi,Elaenia_dayi
Elaenia flavogaster,Elaenia_flavogaster
Elaenia frantzii,Elaenia_frantzii
Elaenia gigas,Elaenia_gigas
Elaenia martinica,Elaenia_martinica
Elaenia mesoleuca,Elaenia_mesoleuca
Elaenia obscura,Elaenia_obscura
Elaenia olivina,Elaenia_pallatangae
Elaenia pallatangae,Elaenia_pallatangae
Elaenia parvirostris,Elaenia_parvirostris
Elaenia pelzelni,Elaenia_pelzelni
Elaenia ridleyana,Elaenia_ridleyana
Elaenia ruficeps,Elaenia_ruficeps
Elaenia sordida,Elaenia_obscura
Elaenia spectabilis,Elaenia_spectabilis
Elaenia strepera,Elaenia_strepera
Elanoides forficatus,Elanoides_forficatus
Elanus leucurus,Elanus_leucurus
Electron platyrhynchum,Electron_platyrhynchum
Eleoscytalopus indigoticus,Eleoscytalopus_indigoticus
Eleoscytalopus psychopompus,Eleoscytalopus_psychopompus
Eleothreptus anomalus,Eleothreptus_anomalus
Eleothreptus candicans,Eleothreptus_candicans
Elliotomyia chionogaster,Amazilia_chionogaster
Elliotomyia viridicauda,Amazilia_viridicauda
Emberizoides duidae,Emberizoides_duidae
Emberizoides herbicola,Emberizoides_herbicola
Emberizoides ypiranganus,Emberizoides_ypiranganus
Embernagra longicauda,Embernagra_longicauda
Embernagra platensis,Embernagra_platensis
Empidonax alnorum,Empidonax_alnorum
Empidonax traillii,Empidonax_traillii
Empidonax virescens,Empidonax_virescens
Empidonomus aurantioatrocristatus,Empidonomus_aurantioatrocristatus
Empidonomus varius,Empidonomus_varius
Enicognathus ferrugineus,Enicognathus_ferrugineus
Enicognathus leptorhynchus,Enicognathus_leptorhynchus
Ensifera ensifera,Ensifera_ensifera
Entomodestes coracinus,Entomodestes_coracinus
Entomodestes leucotis,Entomodestes_leucotis
Epinecrophylla erythrura,Epinecrophylla_erythrura
Epinecrophylla fulviventris,Epinecrophylla_fulviventris
Epinecrophylla gutturalis,Myrmotherula_gutturalis
Epinecrophylla amazonica,Epinecrophylla_haematonota
Epinecrophylla haematonota,Epinecrophylla_haematonota
Epinecrophylla leucophthalma,Epinecrophylla_leucophthalma
Epinecrophylla ornata,Epinecrophylla_ornata
Epinecrophylla spodionota,Epinecrophylla_spodionota
Ochetorhynchus phoenicurus,Ochetorhynchus_phoenicurus
Eremophila alpestris,Eremophila_alpestris
Eriocnemis aline,Eriocnemis_alinae
Eriocnemis cupreoventris,Eriocnemis_cupreoventris
Eriocnemis derbyi,Eriocnemis_derbyi
Eriocnemis glaucopoides,Eriocnemis_glaucopoides
Eriocnemis godini,Eriocnemis_godini
Eriocnemis isabellae,Eriocnemis_isabellae
Eriocnemis luciani,Eriocnemis_luciani
Eriocnemis mirabilis,Eriocnemis_mirabilis
Eriocnemis mosquera,Eriocnemis_mosquera
Eriocnemis nigrivestis,Eriocnemis_nigrivestis
Eriocnemis vestita,Eriocnemis_vestita
Estrilda astrild,Estrilda_astrild
Eubucco bourcierii,Eubucco_bourcierii
Eubucco richardsoni,Eubucco_richardsoni
Eubucco tucinkae,Eubucco_tucinkae
Eubucco versicolor,Eubucco_versicolor
Eucometis penicillata,Eucometis_penicillata
Eudocimus albus,Eudocimus_albus
Eudocimus ruber,Eudocimus_ruber
Eudromia elegans,Eudromia_elegans
Eudromia formosa,Eudromia_formosa
Eudyptes chrysocome,Eudyptes_chrysocome
Eudyptes chrysolophus,Eudyptes_chrysolophus
Eudyptes moseleyi,Eudyptes_moseleyi
Eudyptes robustus,Eudyptes_robustus
Eudyptes sclateri,Eudyptes_sclateri
Eudyptula minor,Eudyptula_minor
Eugralla paradoxa,Eugralla_paradoxa
Eulidia yarrellii,Eulidia_yarrellii
Eupetomena cirrochloris,Aphantochroa_cirrochloris
Eupetomena macroura,Eupetomena_macroura
Euphonia anneae,Euphonia_anneae
Euphonia cayennensis,Euphonia_cayennensis
Euphonia chalybea,Euphonia_chalybea
Euphonia chlorotica,Euphonia_chlorotica
Euphonia chrysopasta,Euphonia_chrysopasta
Euphonia concinna,Euphonia_concinna
Chlorophonia cyanocephala,Euphonia_cyanocephala
Euphonia finschi,Euphonia_finschi
Euphonia fulvicrissa,Euphonia_fulvicrissa
Euphonia laniirostris,Euphonia_laniirostris
Euphonia mesochrysa,Euphonia_mesochrysa
Euphonia minuta,Euphonia_minuta
Euphonia pectoralis,Euphonia_pectoralis
Euphonia plumbea,Euphonia_plumbea
Euphonia rufiventris,Euphonia_rufiventris
Euphonia saturata,Euphonia_saturata
Euphonia trinitatis,Euphonia_trinitatis
Euphonia violacea,Euphonia_violacea
Euphonia xanthogaster,Euphonia_xanthogaster
Eurypyga helias,Eurypyga_helias
Euscarthmus fulviceps,Euscarthmus_meloryphus
Euscarthmus meloryphus,Euscarthmus_meloryphus
Euscarthmus rufomarginatus,Euscarthmus_rufomarginatus
Eutoxeres aquila,Eutoxeres_aquila
Eutoxeres condamini,Eutoxeres_condamini
Falco columbarius,Falco_columbarius
Falco deiroleucus,Falco_deiroleucus
Falco femoralis,Falco_femoralis
Falco peregrinus,Falco_peregrinus
Falco rufigularis,Falco_rufigularis
Falco sparverius,Falco_sparverius
Falco tinnunculus,Falco_tinnunculus
Florisuga fusca,Florisuga_fusca
Florisuga mellivora,Florisuga_mellivora
Fluvicola nengeta,Fluvicola_nengeta
Fluvicola albiventer,Fluvicola_albiventer
Fluvicola pica,Fluvicola_pica
Formicarius analis,Formicarius_analis
Formicarius colma,Formicarius_colma
Formicarius nigricapillus,Formicarius_nigricapillus
Formicarius rufifrons,Formicarius_rufifrons
Formicarius rufipectus,Formicarius_rufipectus
Formicivora erythronotos,Formicivora_erythronotos
Formicivora grantsaui,#N/A
Formicivora grisea,Formicivora_grisea
Formicivora iheringi,Formicivora_iheringi
Formicivora melanogaster,Formicivora_melanogaster
Formicivora rufa,Formicivora_rufa
Formicivora littoralis,Formicivora_serrana
Formicivora serrana,Formicivora_serrana
Forpus coelestis,Forpus_coelestis
Forpus conspicillatus,Forpus_conspicillatus
Forpus modestus,Forpus_modestus
Forpus passerinus,Forpus_passerinus
Forpus xanthops,Forpus_xanthops
Forpus crassirostris,Forpus_xanthopterygius
Forpus spengeli,Forpus_xanthopterygius
Forpus xanthopterygius,Forpus_xanthopterygius
Frederickena fulva,Frederickena_unduligera
Frederickena unduliger,Frederickena_unduligera
Frederickena viridis,Frederickena_viridis
Fregata aquila,Fregata_aquila
Fregata ariel,Fregata_ariel
Fregata magnificens,Fregata_magnificens
Fregata minor,Fregata_minor
Fregetta grallaria,Fregetta_grallaria
Fregetta tropica,Fregetta_tropica
Fulica americana,Fulica_americana
Fulica ardesiaca,Fulica_ardesiaca
Fulica armillata,Fulica_armillata
Fulica cornuta,Fulica_cornuta
Fulica gigantea,Fulica_gigantea
Fulica leucoptera,Fulica_leucoptera
Fulica rufifrons,Fulica_rufifrons
Fulmarus glacialis,Fulmarus_glacialis
Fulmarus glacialoides,Fulmarus_glacialoides
Furnarius cristatus,Furnarius_cristatus
Furnarius figulus,Furnarius_figulus
Furnarius leucopus,Furnarius_leucopus
Furnarius minor,Furnarius_minor
Furnarius rufus,Furnarius_rufus
Furnarius torridus,Furnarius_torridus
Galbalcyrhynchus leucotis,Galbalcyrhynchus_leucotis
Galbalcyrhynchus purusianus,Galbalcyrhynchus_purusianus
Galbula albirostris,Galbula_albirostris
Galbula chalcothorax,Galbula_chalcothorax
Galbula cyanescens,Galbula_cyanescens
Galbula cyanicollis,Galbula_cyanicollis
Galbula dea,Galbula_dea
Galbula galbula,Galbula_galbula
Galbula leucogastra,Galbula_leucogastra
Galbula pastazae,Galbula_pastazae
Galbula ruficauda,Galbula_ruficauda
Galbula tombacea,Galbula_tombacea
Gallinago andina,Gallinago_andina
Gallinago delicata,Gallinago_gallinago
Gallinago imperialis,Gallinago_imperialis
Gallinago jamesoni,Gallinago_jamesoni
Gallinago nobilis,Gallinago_nobilis
Gallinago magellanica,Gallinago_paraguaiae
Gallinago paraguaiae,Gallinago_paraguaiae
Gallinago stricklandii,Gallinago_stricklandii
Gallinago undulata,Gallinago_undulata
Gallinula angulata,Gallinula_angulata
Gallinula galeata,Gallinula_chloropus
Porphyriops melanops,Gallinula_melanops
Gampsonyx swainsonii,Gampsonyx_swainsonii
Garrodia nereis,Garrodia_nereis
Gelochelidon nilotica,Sterna_nilotica
Geositta antarctica,Geositta_antarctica
Geositta crassirostris,Geositta_crassirostris
Geositta cunicularia,Geositta_cunicularia
Geositta isabellina,Geositta_isabellina
Geositta maritima,Geositta_maritima
Geositta peruviana,Geositta_peruviana
Geositta poeciloptera,Geositta_poeciloptera
Geositta punensis,Geositta_punensis
Geositta rufipennis,Geositta_rufipennis
Geositta saxicolina,Geositta_saxicolina
Geositta tenuirostris,Geositta_tenuirostris
Geospiza conirostris,Geospiza_conirostris
Geospiza propinqua,Geospiza_conirostris
Geospiza acutirostris,Geospiza_difficilis
Geospiza difficilis,Geospiza_difficilis
Geospiza septentrionalis,Geospiza_difficilis
Geospiza fortis,Geospiza_fortis
Geospiza fuliginosa,Geospiza_fuliginosa
Geospiza magnirostris,Geospiza_magnirostris
Geospiza scandens,Geospiza_scandens
Geothlypis aequinoctialis,Geothlypis_aequinoctialis
Geothlypis formosa,Oporornis_formosus
Geothlypis philadelphia,Oporornis_philadelphia
Geothlypis semiflava,Geothlypis_semiflava
Geothlypis trichas,Geothlypis_trichas
Geotrygon montana,Geotrygon_montana
Geotrygon purpurata,Geotrygon_saphirina
Geotrygon saphirina,Geotrygon_saphirina
Geotrygon violacea,Geotrygon_violacea
Geranoaetus melanoleucus,Geranoaetus_melanoleucus
Geranospiza caerulescens,Geranospiza_caerulescens
Glareola pratincola,Glareola_pratincola
Glaucidium bolivianum,Glaucidium_bolivianum
Glaucidium brasilianum,Glaucidium_brasilianum
Glaucidium griseiceps,Glaucidium_griseiceps
Glaucidium hardyi,Glaucidium_hardyi
Glaucidium jardinii,Glaucidium_jardinii
Glaucidium minutissimum,Glaucidium_minutissimum
Glaucidium mooreorum,Glaucidium_mooreorum
Glaucidium nana,Glaucidium_nanum
Glaucidium nubicola,Glaucidium_nubicola
Glaucidium parkeri,Glaucidium_parkeri
Glaucidium peruanum,Glaucidium_peruanum
Glaucis aeneus,Glaucis_aeneus
Glaucis dohrnii,Glaucis_dohrnii
Glaucis hirsutus,Glaucis_hirsutus
Glyphorynchus spirurus,Glyphorynchus_spirurus
Gnorimopsar chopi,Gnorimopsar_chopi
Goldmania bella,Goethalsia_bella
Goldmania violiceps,Goldmania_violiceps
Grallaria albigula,Grallaria_albigula
Grallaria alleni,Grallaria_alleni
Grallaria alvarezi,Grallaria_rufula
Grallaria andicolus,Grallaria_andicolus
Grallaria ayacuchensis,Grallaria_rufula
Grallaria bangsi,Grallaria_bangsi
Grallaria blakei,Grallaria_blakei
Grallaria capitalis,Grallaria_capitalis
Grallaria carrikeri,Grallaria_carrikeri
Grallaria centralis,Grallaria_rufula
Grallaria chthonia,Grallaria_chthonia
Grallaria cochabambae,Grallaria_rufula
Grallaria dignissima,Grallaria_dignissima
Grallaria eludens,Grallaria_eludens
Grallaria erythroleuca,Grallaria_erythroleuca
Grallaria erythrotis,Grallaria_erythrotis
Grallaria excelsa,Grallaria_excelsa
Grallaria urraoensis,Grallaria_rufula
Grallaria flavotincta,Grallaria_flavotincta
Grallaria gigantea,Grallaria_gigantea
Grallaria gravesi,Grallaria_blakei
Grallaria griseonucha,Grallaria_griseonucha
