Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Crax fasciolata	Crax_fasciolata	SPECIES	x		x	x		VU	
Crax fasciolata pinima		SUBSPECIES	x		x				
Crax fasciolata fasciolata		SUBSPECIES	x			x			
Mitu tuberosum	Mitu_tuberosum	SPECIES	x		x				
Odontophorus gujanensis	Odontophorus_gujanensis	SPECIES	x		x			NT	
Odontophorus gujanensis gujanensis		SUBSPECIES	x						
Odontophorus capueira	Odontophorus_capueira	SPECIES	x	x					 O. c. plumbeicollis is a species restrict of the CEP and inclaves of Atlatic Forest in the Caatinga
Odontophorus capueira plumbeicollis		SUBSPECIES	x	x					
Tachybaptus dominicus	Tachybaptus_dominicus	SPECIES	x	x	x	x			
Tachybaptus dominicus brachyrhynchus		SUBSPECIES	x	x	x	x			
Podilymbus podiceps	Podilymbus_podiceps	SPECIES	x	x	x	x			
Podilymbus podiceps antarcticus		SUBSPECIES	x	x	x	x			
Ciconia maguari	Ciconia_maguari	SPECIES	x	x	x	x			
Jabiru mycteria	Jabiru_mycteria	SPECIES	x	x	x	x			
Mycteria americana	Mycteria_americana	SPECIES	x	x	x	x			
Fregata magnificens	Fregata_magnificens	SPECIES	x	x	x				Species Migrant and coastal in Caatinga and Cerrado. I would not include this species
Fregata magnificens rothschildi 		SUBSPECIES	x	x	x				
Nannopterum brasilianum	Phalacrocorax_brasilianus	SPECIES	x	x	x	x			
Nannopterum brasilianum brasilianum		SUBSPECIES	x	x	x	x			
Anhinga anhinga	Anhinga_anhinga	SPECIES	x	x	x	x			
Anhinga anhinga anhinga		SUBSPECIES	x	x	x	x			
Tigrisoma lineatum	Tigrisoma_lineatum	SPECIES	x	x	x	x			
Tigrisoma lineatum marmoratum		SUBSPECIES	x						
Tigrisoma fasciatum	Tigrisoma_fasciatum	SPECIES	x		x				Not  Chaco bird et al!
Tigrisoma fasciatum fasciatum 		SUBSPECIES	x		x	x			
Agamia agami	Agamia_agami	SPECIES	x		x				
Cochlearius cochlearius	Cochlearius_cochlearius	SPECIES	x	x	x				
Cochlearius cochlearius cochlearius		SUBSPECIES	x	x	x				
Zebrilus undulatus	Zebrilus_undulatus	SPECIES	x		x				
Botaurus pinnatus	Botaurus_pinnatus	SPECIES	x	x	x	x			
Botaurus pinnatus pinnatus		SUBSPECIES	x	x	x	x			
Ixobrychus exilis	Ixobrychus_exilis	SPECIES	x	x	x				
Ixobrychus exilis erythromelas		SUBSPECIES	x	x	x				
Ixobrychus involucris	Ixobrychus_involucris	SPECIES	x	x	x	x			
Nycticorax nycticorax	Nycticorax_nycticorax	SPECIES	x	x	x	x			
Nycticorax nycticorax hoactli		SUBSPECIES	x	x	x	x			
Nyctanassa violacea	Nyctanassa_violacea	SPECIES	x	x	x				
Nyctanassa violacea cayennensis		SUBSPECIES	x	x	x				
Butorides striata	Butorides_striata	SPECIES	x	x	x	x			
Butorides striata striata		SUBSPECIES	x	x	x	x			
Bubulcus ibis	Bubulcus_ibis	SPECIES	x	x	x	x			
Bubulcus ibis ibis		SUBSPECIES	x	x	x	x			
Ardea cocoi	Ardea_cocoi	SPECIES	x	x	x	x			
Ardea alba	Casmerodius_albus	SPECIES	x	x	x	x			
Ardea alba egretta		SUBSPECIES	x	x	x	x			
Syrigma sibilatrix	Syrigma_sibilatrix	SPECIES	x		x	x			
Syrigma sibilatrix sibilatrix 		SUBSPECIES	x		x	x			
Pilherodius pileatus	Pilherodius_pileatus	SPECIES	x	x	x	x			
Egretta thula	Egretta_thula	SPECIES	x	x	x	x			
Egretta thula thula		SUBSPECIES	x	x	x	x			
Egretta caerulea	Egretta_caerulea	SPECIES	x	x	x	x			
Egretta tricolor	Egretta_tricolor	SPECIES	x	x	x				Species coastal in the Caatinga and Cerrado
Egretta tricolor tricolor		SUBSPECIES	x	x	x				
Plegadis chihi	Plegadis_chihi	SPECIES	x		x	x			
Mesembrinibis cayennensis	Mesembrinibis_cayennensis	SPECIES	x		x				
Phimosus infuscatus	Phimosus_infuscatus	SPECIES	x	x	x	x			
Phimosus infuscatus nudifrons		SUBSPECIES	x	x	x				
Phimosus infuscatus infuscatus		SUBSPECIES	x			x			
Theristicus caerulescens	Theristicus_caerulescens	SPECIES	x		x	x			
Theristicus caudatus	Theristicus_caudatus	SPECIES	x	x	x	x			
Theristicus caudatus hyperorius		SUBSPECIES	x	x	x	x			
Platalea ajaja	Platalea_ajaja	SPECIES	x	x	x	x			
Cathartes aura	Cathartes_aura	SPECIES	x	x	x	x			
Cathartes aura aura		SUBSPECIES	x	x	x	x			
Cathartes burrovianus	Cathartes_burrovianus	SPECIES	x	x	x	x			
Cathartes burrovianus urubutinga		SUBSPECIES	x	x	x	x			
Cathartes melambrotus	Cathartes_melambrotus	SPECIES	x		x				
Coragyps atratus	Coragyps_atratus	SPECIES	x	x	x	x			
Coragyps atratus brasiliensis 		SUBSPECIES	x	x	x	x			
Sarcoramphus papa	Sarcoramphus_papa	SPECIES	x	x	x	x			
Pandion haliaetus	Pandion_haliaetus	SPECIES	x	x	x	x			Migrant
Pandion haliaetus carolinensis 		SUBSPECIES	x	x	x	x			
Leptodon cayanensis	Leptodon_cayanensis	SPECIES	x	x	x	x			Only in wet Chaco.
Leptodon cayanensis monachus		SUBSPECIES	x	x	x	x			
Chondrohierax uncinatus	Chondrohierax_uncinatus	SPECIES	x	x	x	x			
Chondrohierax uncinatus uncinatus		SUBSPECIES	x	x	x	x			
Elanoides forficatus	Elanoides_forficatus	SPECIES	x	x	x	x		x	
Gampsonyx swainsonii	Gampsonyx_swainsonii	SPECIES	x	x	x	x			
Gampsonyx swainsonii swainsonii 		SUBSPECIES	x	x	x	x			
Elanus leucurus	Elanus_leucurus	SPECIES	x	x	x	x			
Elanus leucurus leucurus		SUBSPECIES	x	x	x	x			
Harpagus bidentatus	Harpagus_bidentatus	SPECIES	x		x				Not in Chaco
Harpagus bidentatus bidentatus 		SUBSPECIES	x		x	x			
Harpagus diodon	Harpagus_diodon	SPECIES	x	x	x				Noy in CHaco
Circus buffoni	Circus_buffoni	SPECIES	x		x	x			
Circus cinereus	Circus_cinereus	SPECIES	x			x			
Accipiter poliogaster	Accipiter_poliogaster	SPECIES	x		x				not in Chaco
Accipiter superciliosa	Accipiter_superciliosus	SPECIES	x		x				not in Chaco
Accipiter superciliosus superciliosus 		SUBSPECIES	x		x	x			
Accipiter striatus	Accipiter_striatus	SPECIES	x	x	x	x			
Accipiter striatus erythronemius		SUBSPECIES	x	x	x	x			
Accipiter bicolor	Accipiter_bicolor	SPECIES	x	x	x	x			
