Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Neomorphus geoffroyi	Neomorphus_geoffroyi	SPECIES	x	x	x			VU	
Neomorphus geoffroyi geoffroyi		SUBSPECIES	x	x					
Neomorphus geoffroyi amazonicus		SUBSPECIES	x		x				
Tyto furcata	Tyto_alba	SPECIES	x	x	x	x			
Tyto furcata tuidara		SUBSPECIES	x	x	x	x			
Megascops choliba	Megascops_choliba	SPECIES	x	x	x	X			Chaco
Megascops choliba decussatus		SUBSPECIES	x	x	x				
Megascops choliba choliba		SUBSPECIES	x		x				
Megascops choliba wetmorei		SUBSPECIES	x			x			
Megascops usta	Megascops_watsonii	SPECIES	x		x				Marginal
Pulsatrix perspicillata	Pulsatrix_perspicillata	SPECIES	x	x	x	x			
Pulsatrix perspicillata pulsatrix		SUBSPECIES	x	x	x				
Pulsatrix perspicillata boliviana		SUBSPECIES	x			x			
Bubo virginianus	Bubo_virginianus	SPECIES	x	x	x	x			
Bubo virginianus nacurutu		SUBSPECIES	x		x	x			
Bubo virginianus deserti		SUBSPECIES	x	x					
Ciccaba virgata	Strix_virgata	SPECIES	x	x	x				
Ciccaba virgata superciliaris		SUBSPECIES	x	x					
Ciccaba virgata borelliana		SUBSPECIES	x		x				
Ciccaba huhula	Strix_huhula	SPECIES	x		x				
Ciccaba huhula huhula		SUBSPECIES	x		x				
Strix chacoensis	Strix_chacoensis	SPECIES	x			x	CH	NT	
Glaucidium brasilianum	Glaucidium_brasilianum	SPECIES	x	x	x	x			
Glaucidium brasilianum brasilianum		SUBSPECIES	x	x	x				
Glaucidium brasilianum pallens		SUBSPECIES	x			x			
Glaucidium minutissimum	Glaucidium_minutissimum	SPECIES	x		x				Marginal
Athene cunicularia	Athene_cunicularia	SPECIES	x	x	x	x			
Athene cunicularia grallaria		SUBSPECIES	x	x	x				
Athene cunicularia cunicularia		SUBSPECIES	x			x			
Aegolius harrisii	Aegolius_harrisii	SPECIES	x	x	x	x			
Aegolius harrisii iheringi 		SUBSPECIES	x	x	x	x			
Asio clamator	Pseudoscops_clamator	SPECIES	x	x	x	x			
Asio clamator clamator		SUBSPECIES	x	x	x				
Asio clamator midas		SUBSPECIES	x			x			
Asio stygius	Asio_stygius	SPECIES	x	x	x	x			Margina in Chaco?
Asio stygius stygius		SUBSPECIES	x	x	x				
Asio stygius barberoi		SUBSPECIES	x			x			
Asio flammeus	Asio_flammeus	SPECIES	x	x	x	x			
Asio flammeus suinda		SUBSPECIES	x	x	x	x			
Nyctibius grandis	Nyctibius_grandis	SPECIES	x		x				
Nyctibius griseus	Nyctibius_griseus	SPECIES	x	x	x	x			
Nyctibius griseus griseus		SUBSPECIES	x	x	x	x			
Nyctiphrynus ocellatus	Nyctiphrynus_ocellatus	SPECIES	x		x				
Nyctiphrynus ocellatus ocellatus		SUBSPECIES	x		x				
Antrostomus rufus	Caprimulgus_rufus	SPECIES	x	x	x	x			
Antrostomus rufus rutilus		SUBSPECIES	x	x	x	x			
Lurocalis semitorquatus	Lurocalis_semitorquatus	SPECIES	x	x	x				
Lurocalis semitorquatus nattereri		SUBSPECIES	x	x	x				
Nyctiprogne leucopyga	Nyctiprogne_leucopyga	SPECIES	x		x				
Nyctiprogne leucopyga majuscula		SUBSPECIES	x		x				
Nyctiprogne vielliardi	Nyctiprogne_vielliardi	SPECIES	x	x	x		CE/CA	NT	
Nyctidromus nigrescens	Caprimulgus_nigrescens	SPECIES	x		x				Marginal
Nyctidromus albicollis	Nyctidromus_albicollis	SPECIES	x	x	x	x			
Nyctidromus albicollis albicollis		SUBSPECIES	x	x	x				
Nyctidromus albicollis derbyanus		SUBSPECIES	x		x	x			
Nyctipolus hirundinaceus	Caprimulgus_hirundinaceus	SPECIES	x	x	x				
Nyctipolus hirundinaceus cearae		SUBSPECIES	x	x					N Ceará S to extreme N Bahia
Nyctipolus hirundinaceus hirundinaceus		SUBSPECIES	x	x					"S Piauí, Bahia (except extreme N) and Alagoas"
Hydropsalis parvula	Caprimulgus_parvulus	SPECIES	x	x	x	x			
Hydropsalis longirostris	Caprimulgus_longirostris	SPECIES	x	x	x	x			
Hydropsalis longirostris longirostris		SUBSPECIES	x	x	x	x			
Hydropsalis candicans	Eleothreptus_candicans	SPECIES	x		x		CE	VU	
Eleothreptus anomalus	Eleothreptus_anomalus	SPECIES	x			x		VU	
Hydropsalis maculicaudus	Caprimulgus_maculicaudus	SPECIES	x	x	x				
Hydropsalis climacocerca	Hydropsalis_climacocerca	SPECIES	x		x				
Hydropsalis climacocerca climacocerca		SUBSPECIES	x		x				Marginal
Hydropsalis torquata	Hydropsalis_torquata	SPECIES	x	x	x	x			
Hydropsalis torquata torquata		SUBSPECIES	x	x	x				
Hydropsalis torquata furcifer		SUBSPECIES	x			x			
Nannochordeiles pusillus	Chordeiles_pusillus	SPECIES	x	x	x				
Chordeiles pusillus novaesi		SUBSPECIES	x	x					"Brazil (Maranhão, Piauí)"
Chordeiles pusillus xerophilus		SUBSPECIES	x	x					"Brazil (Paraíba, Pernambuco)"
Chordeiles pusillus pusillus		SUBSPECIES	x	x	x				"Brazil (Tocantins, Bahia, Goiás)"
Chordeiles pusillus saturatus		SUBSPECIES	x						"Brazil (SE Amazonas, SW Pará and W Mato Grosso) and extreme E Bolivia."
Podager nacunda	Podager_nacunda	SPECIES	x	x	x	x			
Podager nacunda nacunda		SUBSPECIES	x	x	x	x			
Chordeiles minor	Chordeiles_minor	SPECIES	x	x	x	x			Migrant
Chordeiles minor minor		SUBSPECIES	x	x	x	x			
Chordeiles minor sennetti 		SUBSPECIES	x	x	x	 			
Chordeiles minor hesperis		SUBSPECIES	x	x	x				
Chordeiles minor chapmani		SUBSPECIES	x	x	x	x			
Chordeiles rupestris	Chordeiles_rupestris	SPECIES	x		x				
Chordeiles rupestris rupestris		SUBSPECIES	x		x				
Chordeiles acutipennis	Chordeiles_acutipennis	SPECIES	x	x	x				
Chordeiles acutipennis acutipennis		SUBSPECIES	x	x	x				
Cypseloides fumigatus	Cypseloides_fumigatus	SPECIES	x	x	x				
Cypseloides senex	Cypseloides_senex	SPECIES	x	x	x				
Streptoprocne zonaris	Streptoprocne_zonaris	SPECIES	x	x	x				
Streptoprocne zonaris zonaris		SUBSPECIES	x	x	x				
Streptoprocne biscutata	Streptoprocne_biscutata	SPECIES	x	x	x				
Streptoprocne biscutata seridoensis		SUBSPECIES	x	x					
Streptoprocne biscutata biscutata		SUBSPECIES	x		x				
Chaetura cinereiventris	Chaetura_cinereiventris	SPECIES	x	x	x				
Chaetura cinereiventris cinereiventris		SUBSPECIES	x	x	x				
Chaetura spinicaudus	Chaetura_spinicaudus	SPECIES	x		x				
Chaetura spinicaudus spinicaudus		SUBSPECIES	x		x				
Chaetura meridionalis	Chaetura_meridionalis	SPECIES	x	x	x	x			
Chaetura brachyura	Chaetura_brachyura	SPECIES	x		x				
Chaetura brachyura cinereocauda		SUBSPECIES	x		x				
Tachornis squamata	Tachornis_squamata	SPECIES	x	x	x				
Tachornis squamata squamata		SUBSPECIES	x	x	x				
Panyptila cayennensis	Panyptila_cayennensis	SPECIES	x		x				
Panyptila cayennensis cayennensis		SUBSPECIES	x		x				
Glaucis hirsutus	Glaucis_hirsutus	SPECIES	x	x	x				
Glaucis hirsutus hirsutus		SUBSPECIES	x	x	x				
Anopetia gounellei	Anopetia_gounellei	SPECIES	x	x	x		CE/CA		
Phaethornis maranhaoensis	Phaethornis_nattereri	SPECIES	x	x	x		Q_CE		
Phaethornis nattereri	Phaethornis_nattereri	SPECIES	x		x		Q_CE		
Phaethornis ruber	Phaethornis_ruber	SPECIES	x	x	x				
Phaethornis ruber ruber		SUBSPECIES	x	x	x				
Phaethornis pretrei	Phaethornis_pretrei	SPECIES	x	x	x				
Phaethornis subochraceus	Phaethornis_subochraceus	SPECIES	x		x				no in Chao
Campylopterus calcirupicola	Campylopterus_largipennis	SPECIES	x		x		CE	VU	
Campylopterus diamantinensis	Campylopterus_largipennis	SPECIES	x		x		CA	NT	
Eupetomena macroura	Eupetomena_macroura	SPECIES	x	x	x				
Eupetomena macroura macroura		SUBSPECIES	x		x				
Eupetomena macroura simoni		SUBSPECIES	x	x					
Eupetomena macroura cyanoviridis		SUBSPECIES	x		x				Serra do Mar (in São Paulo)
Aphantochroa cirrochloris	Aphantochroa_cirrochloris	SPECIES	x	x	x				
Florisuga mellivora	Florisuga_mellivora	SPECIES	x		x				marginal
Florisuga mellivora mellivora		SUBSPECIES	x		x				
Florisuga fusca	Florisuga_fusca	SPECIES	x	x	x				
Colibri delphinae	Colibri_delphinae	SPECIES	x	x					
Colibri delphinae greenewalti		SUBSPECIES	x	x					Endemic Caatinga subspecies
Colibri serrirostris	Colibri_serrirostris	SPECIES	x	x	x				
Anthracothorax nigricollis	Anthracothorax_nigricollis	SPECIES	x	x	x	x			
Avocettula recurvirostris	Avocettula_recurvirostris	SPECIES	x		x				
Chrysolampis mosquitus	Chrysolampis_mosquitus	SPECIES	x	x	x				
Lophornis gouldii	Lophornis_gouldii	SPECIES	x		x			NT	
Lophornis magnificus	Lophornis_magnificus	SPECIES	x	x	x				
Chlorestes notata	Chlorestes_notata	SPECIES	x	x	x				
Chlorestes notata notata		SUBSPECIES	x	x	x				
Chlorostilbon mellisugus	Chlorostilbon_mellisugus	SPECIES	x		x				
Chlorostilbon mellisugus mellisugus		SUBSPECIES	x		x				
Chlorostilbon lucidus	Chlorostilbon_lucidus	SPECIES	x	x	x	x			
Chlorostilbon lucidus pucherani		SUBSPECIES	x	x	x				E Brazil (Maranhão and Ceará S to Paraná).
Chlorostilbon lucidus lucidus		SUBSPECIES	x		x				SW Brazil (Including Mato Grosso)
Chlorostilbon lucidus igneus		SUBSPECIES	x			x			
Thalurania furcata	Thalurania_furcata	SPECIES	x	x	x				
Thalurania furcata baeri		SUBSPECIES	x	x	x				NE and C Brazil (Ceará S to Mato Grosso do Sul and Goiás)
Thalurania furcata eriphile		SUBSPECIES	x	x	x				SE Brazil (S Bahia to Paraná)
Thalurania glaucopis	Thalurania_glaucopis	SPECIES	x	x					
Hylocharis sapphirina	Hylocharis_sapphirina	SPECIES	x	x					
Chlorestes cyanus	Hylocharis_cyanus	SPECIES	x	x	x				
Chlorestes cyanus viridiventris		SUBSPECIES	x	x	x				"N Brazil (S to Mato Grosso, E to Maranhão). Population in CE"
Hylocharis chrysura	Hylocharis_chrysura	SPECIES	x		x	x			
Leucochloris albicollis	Leucochloris_albicollis	SPECIES	x		x				
Polytmus guainumbi	Polytmus_guainumbi	SPECIES	x	x	x				no in Chaco
Polytmus guainumbi thaumantias		SUBSPECIES	x	x	x				
Chrysuronia leucogaster	Amazilia_leucogaster	SPECIES	x	x	x				Costal
Chrysuronia leucogaster leucogaster		SUBSPECIES	x	x	x				
Chrysuronia versicolor	Amazilia_versicolor	SPECIES	x	x	x				
Chrysuronia versicolor nitidifrons		SUBSPECIES	x	x					
Chrysuronia versicolor versicolor		SUBSPECIES	x		x				
Chionomesa fimbriata	Amazilia_fimbriata	SPECIES	x	x	x				
Chionomesa fimbriata nigricauda		SUBSPECIES	x	x	x				
Chionomesa lactea	Amazilia_lactea	SPECIES	x	x	x				
Chionomesa lactea lactea		SUBSPECIES	x	x	x				
Heliothryx auritus	Heliothryx_auritus	SPECIES	x		x				
Heliothryx auritus phainolaemus		SUBSPECIES	x		x				NC Brazil (S of Amazon in Pará and Maranhão)
Heliothryx auritus auriculatus		SUBSPECIES	x						"C Brazil (Amazonia S of Amazon E through Mato Grosso to R Tapajós), and E Brazil (from Bahia S to Espírito Santo and S Minas Gerais and São Paulo, irregularly to Santa Catarina)"
Augastes scutatus	Augastes_scutatus	SPECIES	x		x		CE	NT	
Augastes scutatus scutatus		SUBSPECIES	x						high altitudes in mountainous parts of C and E Minas Gerais
Augastes scutatus ilseae		SUBSPECIES	x						moderate altitudes in mountainous parts of C and E Minas Gerais
Augastes scutatus soaresi		SUBSPECIES	x						River Piracicaba basin in SC Minas Gerais
Augastes lumachella	Augastes_lumachella	SPECIES	x	x			CA	NT	
Heliactin bilophus	Heliactin_bilophus	SPECIES	x	x	x				
Heliomaster longirostris	Heliomaster_longirostris	SPECIES	x	x	x				
Heliomaster longirostris longirostris		SUBSPECIES	x	x	x				
Heliomaster squamosus	Heliomaster_squamosus	SPECIES	x	x	x				
Heliomaster furcifer	Heliomaster_furcifer	SPECIES	x		x	x			
Calliphlox amethystina	Calliphlox_amethystina	SPECIES	x	x	x				
Trogon melanurus	Trogon_melanurus	SPECIES	x		x				
Trogon melanurus melanurus		SUBSPECIES	x		x				
Trogon surrucura	Trogon_surrucura	SPECIES	x	x	x				
Trogon surrucura aurantius		SUBSPECIES	x	x	x				
Trogon surrucura surrucura		SUBSPECIES	x		x				
Trogon viridis	Trogon_viridis	SPECIES	x		x				
Trogon ramonianus	Trogon_violaceus	SPECIES	x		x				Marginal
Trogon ramonianus crissalis		SUBSPECIES	x		x				
Trogon curucui	Trogon_curucui	SPECIES	x	x	x	x			
Trogon curucui behni		SUBSPECIES	x		x	x			
Trogon curucui curucui		SUBSPECIES	x	x	x				
Trogon collaris	Trogon_collaris	SPECIES	x		x				Marginal
Trogon collaris castaneus		SUBSPECIES	x		x				
Megaceryle torquata	Megaceryle_torquata	SPECIES	x	x	x	x			
Megaceryle torquata torquata		SUBSPECIES	x	x	x	x			
Chloroceryle amazona	Chloroceryle_amazona	SPECIES	x	x	x	x			
Chloroceryle aenea	Chloroceryle_aenea	SPECIES	x		x				
Chloroceryle aenea aenea		SUBSPECIES	x		x				
Chloroceryle americana	Chloroceryle_americana	SPECIES	x	x	x	x			
Chloroceryle americana americana		SUBSPECIES	x	x	x				
Chloroceryle americana mathewsii 		SUBSPECIES	x		x	x			
Chloroceryle inda	Chloroceryle_inda	SPECIES	x		x				
Chloroceryle inda inda		SUBSPECIES	x		x				
Baryphthengus ruficapillus	Baryphthengus_ruficapillus	SPECIES	x		x				
Momotus momota	Momotus_momota	SPECIES	x	x	x				no in Chaco
Momotus momota parensis		SUBSPECIES	x	x	x				E Brazil (Rio Tocantins to Maranhão and Piauí)
Momotus momota simplex		SUBSPECIES	x		x				"N Brazil S of Amazon (from near Peru border E to upper R Xingu, S to N Mato Grosso and C Goiás)."
Momotus momota pilcomajensis 		SUBSPECIES	x		x	x			"S Brazil (to S Goiás, W São Paulo and NW Paraná)."
Brachygalba lugubris	Brachygalba_lugubris	SPECIES	x		x				
Brachygalba lugubris melanosterna		SUBSPECIES	x		x				"C and S Brazil (Pará S to Rondônia, Mato Grosso, Goiás, W Minas Gerais, W São Paulo)"
Brachygalba lugubris naumburgae		SUBSPECIES	x		x				"NE Brazil (Maranhão, Piauí)"
Galbula ruficauda	Galbula_ruficauda	SPECIES	x	x	x				
Galbula ruficauda rufoviridis		SUBSPECIES	x	x	x				much of Brazil
Galbula ruficauda heterogyna		SUBSPECIES	x		x				Brazil (W Mato Grosso)
Galbula leucogastra	Galbula_leucogastra	SPECIES	x		x				Marginal
Notharchus hyperrhynchus	Notharchus_hyperrhynchus	SPECIES	x	x	x				
Notharchus hyperrhynchus paraensis		SUBSPECIES	x	x	x				
Notharchus tectus	Notharchus_tectus	SPECIES	x	x	x				
Notharchus tectus tectus		SUBSPECIES	x	x	x				
Tamatia tamatia	Bucco_tamatia	SPECIES	x		x				
Tamatia tamatia hypnaleus		SUBSPECIES	x		x				
Notharchus swainsoni	Notharchus_swainsoni	SPECIES	x		x				Marginal
Nystalus torridus	Nystalus_striolatus	SPECIES	x		x				Marginal
Nystalus chacuru	Nystalus_chacuru	SPECIES	x	x	x	x			
Nystalus chacuru chacuru		SUBSPECIES	x	x	x	x			
Nystalus maculatus	Nystalus_maculatus	SPECIES	x	x	x				
Nystalus striatipectus	Nystalus_maculatus	SPECIES	x			x			
Malacoptila minor	Malacoptila_striata	SPECIES	x	x	x		CE/CA		
Nonnula rubecula	Nonnula_rubecula	SPECIES	x	x	x				
Nonnula rubecula simulatrix		SUBSPECIES	x	x	x				
Nonnula rubecula rubecula		SUBSPECIES	x						E and SE Brazil (Bahia and Goiás S to Rio Grande do Sul and Santa Catarina)
Monasa nigrifrons	Monasa_nigrifrons	SPECIES	x		x				
Monasa nigrifrons nigrifrons		SUBSPECIES	x		x				
Monasa morphoeus	Monasa_morphoeus	SPECIES	x		x				
Monasa morphoeus rikeri		SUBSPECIES	x		x				
Chelidoptera tenebrosa	Chelidoptera_tenebrosa	SPECIES	x	x	x				
Chelidoptera tenebrosa brasiliensis		SUBSPECIES	x	x					In Chapada diamantina
Chelidoptera tenebrosa tenebrosa		SUBSPECIES	x		x				
Capito dayi	Capito_dayi	SPECIES	x		x			VU	Marginal. Present in the central region of Mato Grosso
Ramphastos toco	Ramphastos_toco	SPECIES	x	x	x	x			Only wet Chaco!
Ramphastos toco albogularis		SUBSPECIES	x	x	x	x			
Ramphastos tucanus	Ramphastos_tucanus	SPECIES	x		x				Marginal
Ramphastos tucanus tucanus		SUBSPECIES	x		x				
Ramphastos vitellinus	Ramphastos_vitellinus	SPECIES	x		x			VU	
Ramphastos vitellinus ariel		SUBSPECIES	x		x				
Ramphastos dicolorus	Ramphastos_dicolorus	SPECIES	x	x					Present in the Chapada Diamentina
Selenidera gouldii	Selenidera_gouldii	SPECIES	x	x	x				Present in brejos of Ceara and marginal in Cerrado
Pteroglossus inscriptus	Pteroglossus_inscriptus	SPECIES	x	x	x				
Pteroglossus inscriptus inscriptus		SUBSPECIES	x	x	x				
Pteroglossus aracari	Pteroglossus_aracari	SPECIES	x	x	x				
Pteroglossus aracari aracari		SUBSPECIES	x		x				"disjunct populations in NC, E and SE Brazil: S of Amazon, from R Madeira E to Maranhão and S to NE Mato Grosso and Goiás"
Pteroglossus aracari wiedii		SUBSPECIES	x		x				"S Goiás, S Minas Gerais"
Pteroglossus castanotis	Pteroglossus_castanotis	SPECIES	x		x				
Pteroglossus castanotis australis		SUBSPECIES	x		x				
Picumnus buffonii	Picumnus_exilis	SPECIES	x		x				Marginal
Picumnus cirratus	Picumnus_cirratus	SPECIES	x		x	x			
Picumnus cirratus tucumanus		SUBSPECIES	x		x				
Picumnus cirratus tucumanus		SUBSPECIES	x			x			
Picumnus pygmaeus	Picumnus_pygmaeus	SPECIES	x	x	x				
Picumnus albosquamatus	Picumnus_albosquamatus	SPECIES	x		x				"This is in the Bosque Chiquitano, the northern portion of Chaco."
Picumnus albosquamatus guttifer		SUBSPECIES	x		x				
Melanerpes candidus	Melanerpes_candidus	SPECIES	x	x	x	x			
Melanerpes cruentatus	Melanerpes_cruentatus	SPECIES	x		x				
Melanerpes flavifrons	Melanerpes_flavifrons	SPECIES	x		x				
Melanerpes cactorum	Melanerpes_cactorum	SPECIES	x		x	x			
Veniliornis affinis	Veniliornis_affinis	SPECIES	x	x	x				
Veniliornis affinis ruficeps		SUBSPECIES	x	x	x				
Veniliornis passerinus	Veniliornis_passerinus	SPECIES	x	x	x	x			
Veniliornis passerinus taenionotus		SUBSPECIES	x	x	x				
Veniliornis passerinus olivinus		SUBSPECIES	x		x	x			
Veniliornis mixtus	Veniliornis_mixtus	SPECIES	x		x	x			
Dryobates mixtus malleator		SUBSPECIES	x		x				
Dryobates mixtus malleator		SUBSPECIES	x			x			
Piculus leucolaemus	Piculus_leucolaemus	SPECIES	x		x				
Piculus paraensis	Piculus_chrysochloros	SPECIES	x		x				
Piculus flavigula	Piculus_flavigula	SPECIES	x		x				Marginal
Piculus flavigula flavigula		SUBSPECIES	x						
Piculus laemostictus	Piculus_chrysochloros	SPECIES	x		x				
Piculus chrysochloros	Piculus_chrysochloros	SPECIES	x	x	x	x			
Piculus chrysochloros chrysochloros		SUBSPECIES	x	x	x	x			
Colaptes melanochloros	Colaptes_melanochloros	SPECIES	x	x	x	x			
Colaptes melanochloros nattereri		SUBSPECIES	x	x	x				
Colaptes melanochloros melanochloros		SUBSPECIES	x		x				
Colaptes melanochloros nigroviridis 		SUBSPECIES	x			x			
Colaptes campestris	Colaptes_campestris	SPECIES	x	x	x	x			
Colaptes campestris campestris		SUBSPECIES	x	x	x				
Colaptes campestris campestroides		SUBSPECIES	x		x	x			
Celeus torquatus	Celeus_torquatus	SPECIES	x		x			NT	
Celeus torquatus torquatus		SUBSPECIES	x		x				
Celeus ochraceus	Celeus_flavescens	SPECIES	x	x	x				
Celeus elegans	Celeus_elegans	SPECIES	x		x				Marginal
Celeus elegans jumanus		SUBSPECIES	x		x				
Celeus lugubris	Celeus_lugubris	SPECIES	x		x	x			
Celeus lugubris kerri		SUBSPECIES	x			x			
Celeus lugubris lugubris		SUBSPECIES	x		x				
Celeus flavescens	Celeus_flavescens	SPECIES	x		x				
eleus flavescens intercedens		SUBSPECIES	x		x				
Celeus flavus	Celeus_flavus	SPECIES	x		x				
Celeus flavus tectricialis 		SUBSPECIES	x		x				
Celeus obrieni	Celeus_obrieni	SPECIES	x		x		CE	VU	
Dryocopus lineatus	Dryocopus_lineatus	SPECIES	x	x	x	x			Only marginal!
Dryocopus lineatus lineatus		SUBSPECIES	x	x	x				
Dryocopus lineatus erythrops		SUBSPECIES	x		x	x			
Campephilus rubricollis	Campephilus_rubricollis	SPECIES	x		x				
Campephilus rubricollis olallae		SUBSPECIES	x		x				
Dryocopus schulzi	Dryocopus_schulzi	SPECIES	x			x	CH	NT	
Campephilus robustus	Campephilus_robustus	SPECIES	x		x				
Campephilus melanoleucos	Campephilus_melanoleucos	SPECIES	x	x	x				
Campephilus melanoleucos cearae		SUBSPECIES	x	x	x				S America east of Andes to ne Argentina and Brazil
Campephilus melanoleucos melanoleucos		SUBSPECIES	x		x				northeastern Brazil (Maranhão to Ceará and Bahia)
Campephilus leucopogon	Campephilus_leucopogon	SPECIES	x		x	x			
Cariama cristata	Cariama_cristata	SPECIES	x	x	x	x			
Chunga burmeisteri	Chunga_burmeisteri	SPECIES	x			x	CH		
Daptrius ater	Daptrius_ater	SPECIES	x		x				Marginal
Ibycter americanus	Ibycter_americanus	SPECIES	x		x				
Spiziapteryx circumcincta	Spiziapteryx_circumcincta	SPECIES	x			x	CH		
Caracara plancus	Caracara_plancus	SPECIES	x	x	x	x			
Caracara plancus plancus		SUBSPECIES	x	x	x	x			
Milvago chimango	Milvago_chimango	SPECIES	x		x	x			
Milvago chimango chimango		SUBSPECIES	x		x	x			
Milvago chimachima	Milvago_chimachima	SPECIES	x	x	x	x			
Milvago chimachima chimachima		SUBSPECIES	x	x	x	x			
Herpetotheres cachinnans	Herpetotheres_cachinnans	SPECIES	x	x	x	x			
Herpetotheres cachinnans cachinnans		SUBSPECIES	x	x	x	x			
Micrastur ruficollis	Micrastur_ruficollis	SPECIES	x	x	x	x			"Only wet Chaco, not a bird from ddry Chaco."
Micrastur ruficollis ruficollis		SUBSPECIES	x	x	x	x			
Micrastur mintoni	Micrastur_mintoni	SPECIES	x		x				Marginal
Micrastur semitorquatus	Micrastur_semitorquatus	SPECIES	x	x	x	x			"Only wet Chaco, not a bird from ddry Chaco."
Micrastur semitorquatus semitorquatus		SUBSPECIES	x	x	x	x			
Falco sparverius	Falco_sparverius	SPECIES	x	x	x	x			
Falco sparverius cinnamominus		SUBSPECIES	x		x	x			
Falco sparverius cearae		SUBSPECIES	x	x	x				
Falco columbarius	Falco_columbarius	SPECIES	x		x				
Falco columbarius columbarius		SUBSPECIES	x		x				
Falco rufigularis	Falco_rufigularis	SPECIES	x	x	x	x			Not a typical Chaco bird!
Falco rufigularis ophryophanes		SUBSPECIES	x	x	x				
Falco rufigularis rufigularis		SUBSPECIES	x			x			
Falco deiroleucus	Falco_deiroleucus	SPECIES	x		x			NT	
Falco femoralis	Falco_femoralis	SPECIES	x	x	x	x			
Falco femoralis femoralis		SUBSPECIES	x	x	x	x			
Falco peregrinus	Falco_peregrinus	SPECIES	x	x	x	x			
Falco peregrinus cassini		SUBSPECIES	x	x	x	x			
Anodorhynchus leari	Anodorhynchus_leari	SPECIES	x	x			CA	EM	
Anodorhynchus hyacinthinus	Anodorhynchus_hyacinthinus	SPECIES	x		x			VU	
Cyanopsitta spixii	Cyanopsitta_spixii	SPECIES	x	x			CA	EW	
Ara ararauna	Ara_ararauna	SPECIES	x		x				
Ara chloropterus	Ara_chloropterus	SPECIES	x	x	x				
Ara severus	Ara_severus	SPECIES	x		x				
Orthopsittaca manilatus	Orthopsittaca_manilata	SPECIES	x		x				
Primolius maracana	Primolius_maracana	SPECIES	x	x	x			NT	
Primolius auricollis	Primolius_auricollis	SPECIES	x		x				
Diopsittaca nobilis	Diopsittaca_nobilis	SPECIES	x	x	x				
Diopsittaca nobilis longipennis		SUBSPECIES	x		x				
Diopsittaca nobilis cumanensis		SUBSPECIES	x	x	x				
Thectocercus acuticaudatus	Aratinga_acuticaudata	SPECIES	x	x	x	x			
Thectocercus acuticaudatus haemorrhous		SUBSPECIES	x	x	x				
Thectocercus acuticaudatus acuticaudatus		SUBSPECIES	x		x	x			
Psittacara leucophthalmus	Aratinga_leucophthalma	SPECIES	x	x	x	x			
Psittacara leucophthalmus leucophthalmus		SUBSPECIES	x	x	x	x			
Aratinga auricapillus	Aratinga_auricapillus	SPECIES	x	x	x			NT	
Aratinga auricapillus auricapillus		SUBSPECIES	x	x					"N and C Bahia, in E Brazil."
Aratinga auricapillus auricapillus		SUBSPECIES	x	x	x				"C Bahia S to Paraná, in E Brazil."
Aratinga jandaya	Aratinga_jandaya	SPECIES	x	x	x				
Aratinga nenday	Nandayus_nenday	SPECIES	x		x	x			
Eupsittula cactorum	Aratinga_cactorum	SPECIES	x	x	x		Q_CA/CE		
Eupsittula cactorum caixana		SUBSPECIES	x	x	x				"NE Brazil: E Maranhão to W Rio Grande do Norte, W Pernambuco and NW Bahia"
Eupsittula cactorum cactorum		SUBSPECIES	x	x	x				CE Brazil S of R São Francisco (in Bahia and adjacent N Minas Gerais).
Eupsittula aurea	Aratinga_aurea	SPECIES	x	x	x	x			
Pyrrhura coerulescens	Pyrrhura_lepida	SPECIES	x		x			NT	
Pyrrhura pfrimeri	Pyrrhura_pfrimeri	SPECIES	x		x		CE	EM	
Pyrrhura amazonum	Pyrrhura_picta	SPECIES	x		x			EM	
Pyrrhura amazonum amazonum		SUBSPECIES	x		x				
Pyrrhura devillei	Pyrrhura_devillei	SPECIES	x		x		CHA/CE	NT	Not Chacoan
Pyrrhura frontalis	Pyrrhura_frontalis	SPECIES	x	x	x				Not Chacoan
Pyrrhura frontalis frontalis		SUBSPECIES	x	x					
Pyrrhura frontalis chiripepe		SUBSPECIES	x		x	x			
Pyrrhura griseipectus	Pyrrhura_griseipectus	SPECIES	x	x			CA	EM	
Myiopsitta monachus	Myiopsitta_monachus	SPECIES	x		x	x			
Myiopsitta monachus cotorra		SUBSPECIES	x			x			
Myiopsitta monachus monachus		SUBSPECIES	x		x				
Forpus xanthopterygius	Forpus_xanthopterygius	SPECIES	x	x	x				Not Chacoan
Brotogeris chiriri	Brotogeris_chiriri	SPECIES	x	x	x	x			
Brotogeris chiriri chiriri		SUBSPECIES	x	x	x	x			
Brotogeris tirica	Brotogeris_tirica	SPECIES	x	x					Present in Chapada Diamantina
Alipiopsitta xanthops	Alipiopsitta_xanthops	SPECIES	x		x		CE	NT	end to cerrado
Pionus menstruus	Pionus_menstruus	SPECIES	x		x				
Pionus menstruus menstruus		SUBSPECIES	x		x				
Pionus maximiliani	Pionus_maximiliani	SPECIES	x	x	x	x			
Pionus maximiliani maximiliani 		SUBSPECIES	x	x	x				NE and CE Brazil (Ceará and Piauí to NE Goiás and Bahia).
Pionus maximiliani siy		SUBSPECIES	x		x	x			
Amazona amazonica	Amazona_amazonica	SPECIES	x	x	x				
Amazona amazonica amazonica		SUBSPECIES	x	x	x				
